_id_,comp_externo1,comp_externo2,comp_externo3,comp_externo4
78213,260.8695652,25.85463947,56,-230
76457,40.57971014,2.872737719,62,-230
40666,119,-230,,
8329,349.2753623,34.61648951,94,-230
68389,276.8115942,27.43464522,125,-230
45732,640.5797101,63.48750359,81,-230
64416,-608,9999999770,,
11459,92.75362319,128,-230,
35742,217.3913043,21.54553289,114,-230
53185,200,19.82189026,109,-230
98701,558.8405797,55.38638322,125,-230
82374,214.2028986,21.22953174,37,-230
86932,420.2898551,41.65469693,118,-230
81452,75.36231884,78,-230,
20582,782.6086957,77.56391841,121,-230
27039,136.2318841,4.39528871,48,-230
37304,-609,9999999770,,
12346,217.3913043,20.68371158,93,-230
59588,507.2463768,50.27291008,117,-230
54480,579.7101449,57.45475438,110,-230
68365,462.8985507,45.87762137,119,-230
48304,185.5072464,18.3855214,69,-230
5561,391.3043478,38.78195921,83,-230
12508,247.826087,4.59638035,107,-230
45787,113.0434783,11.2036771,98,-230
7824,785.5072464,16.51824188,53,-230
6416,23.1884058,2.298190175,21,-230
43661,159.4202899,15.80005745,75,-230
26236,365.2173913,21.48807814,77,-230
67961,326.0869565,32.31829934,96,-230
6534,115.942029,8.330939385,97,-230
51297,855.0724638,84.74576271,126,-230
61056,120.2898551,10.62912956,115,-230
69426,117.3913043,11.63458776,101,-230
59887,380.8695652,37.74777363,35,-230
66186,1435.652174,142.2866992,94,-230
5881,289.8550725,28.72737719,116,-230
48577,933.0434783,92.47342718,61,-230
44899,26.08695652,2.585463947,68,-230
14913,266.6666667,26.42918702,81,-230
49959,121.7391304,12.06549842,32,-230
6913,142.0289855,14.07641482,120,-230
77975,289.8550725,20.39643781,82,-230
2723,638.5507246,63.28641195,52,-230
66308,28.98550725,2.872737719,131,-230
72411,395.6521739,27.86555587,96,-230
82048,1284.637681,127.3197357,131,-230
89041,1420.689855,140.803792,68,-230
76454,895.0724638,19.42545246,129,-230
25522,315.942029,31.31284114,97,-230
40081,48.11594203,4.768744614,118,-230
67655,-608,-230,,
91852,16.23188406,84,-230,
86255,260.8695652,24.70554438,115,-230
32609,55.07246377,5.458201666,95,-230
98596,130.4318841,129,-230,
48587,752.173913,74.54754381,89,-230
96431,434.7826087,43.09106579,117,-230
98856,308.9855072,13.93277794,69,-230
91129,489.8550725,48.54926745,113,-230
11943,403.1884058,39.95978167,73,-230
15116,70.00289855,6.937948865,71,-230
76217,289.8550725,28.72737719,49,-230
93512,353.9130435,35.07612755,128,-230
