_id_,comp_interno4
78213,58
76457,45
40666,45
8329,59
68389,67
45732,70
64416,71
11459,45
35742,50
53185,58
98701,50
82374,61
86932,59
81452,52
20582,55
27039,47
37304,49
12346,75
59588,45
54480,54
68365,52
48304,48
5561,64
12508,47
45787,75
7824,50
6416,47
43661,47
26236,51
67961,70
6534,47
51297,75
61056,51
69426,60
59887,45
66186,75
5881,59
48577,63
44899,68
14913,54
49959,50
6913,44
77975,63
2723,47
66308,42
72411,75
82048,51
89041,47
76454,46
25522,69
40081,69
67655,52
91852,45
86255,51
32609,44
98596,64
48587,55
96431,75
98856,54
91129,61
11943,57
15116,43
76217,71
93512,51
45737,49
57970,37
25905,52
10599,46
90370,47
68236,57
28013,58
8178,70
15216,45
41776,48
95690,59
7692,46
21194,50
87669,72
12160,61
45360,47
96667,64
94923,57
55146,62
98222,75
76882,52
92985,51
31081,75
44490,75
1476,58
8730,44
63627,50
34548,50
73574,68
92312,70
94588,71
2484,68
73156,71
65422,54
91782,39
20268,73
12676,55
13606,43
21152,46
59310,54
71362,50
7596,49
40061,40
97397,64
31295,63
374,48
71079,75
69583,43
72454,43
54444,43
36352,57
8238,62
21073,65
44180,72
65895,60
15649,43
36177,43
22984,40
3645,72
41663,51
73928,55
38943,49
67435,54
83809,74
9164,51
47631,59
34734,64
98330,44
37816,39
47629,66
7657,43
87482,47
91552,59
73294,57
45950,47
72090,75
57619,45
31750,70
26504,53
91269,60
70014,30
19637,48
33101,58
48672,41
5420,47
25963,45
64944,47
20688,63
92545,55
53018,58
65836,48
37235,47
23170,44
48774,51
69601,54
20893,52
68841,44
91465,71
85707,57
76783,58
62998,52
2486,56
71786,44
44547,73
98102,61
52968,69
85577,51
2386,50
5775,58
41691,46
72113,46
79555,65
17970,57
17399,55
54595,64
97435,61
95550,58
78465,36
41270,44
85852,55
94410,71
59388,49
45551,36
86465,57
38903,59
11253,64
461,45
38648,59
50261,44
51101,47
16965,55
22010,45
3791,61
21779,56
38249,70
69486,61
44649,42
33487,59
57432,70
70402,75
94341,52
36152,64
35487,48
31512,59
48929,50
91772,62
56240,45
38062,46
80568,71
38449,69
3523,68
90297,52
71789,51
15659,47
56781,54
46685,75
86273,61
89222,53
84237,49
58746,50
55029,58
97870,61
36551,59
77877,75
9631,52
15724,69
14269,51
51086,75
9911,44
92984,52
38175,51
3611,67
4414,50
84646,57
33448,68
65346,48
67920,47
81647,45
62913,57
22645,60
24375,60
72523,55
67928,44
82891,48
58584,57
83438,67
75572,59
33195,55
17793,59
11949,58
12592,65
22917,49
5265,61
93346,61
63099,56
23489,64
58790,67
18505,57
20433,46
871,57
3127,48
96498,74
45992,75
87307,71
7812,57
56514,52
52523,45
53562,59
47920,44
73830,58
88307,51
11029,58
94209,50
16603,51
81309,68
70868,59
90992,57
38179,52
28571,46
28805,52
46434,44
51040,53
72742,43
62557,63
60803,72
85143,56
53172,57
85280,59
86115,58
69071,48
