_id_,fecha_inicio,comp_interno1,comp_interno2,comp_interno3,comp_interno4,categoria1,categoria2,categoria3,comp_externo1,comp_externo2,comp_externo3,comp_externo4
78213,25/03/2020,0,b'0',11,58,2,9,156,260.8695652,25.85463947,56,-230
76457,13/02/2020,0,b'1',28,45,1,4,173,40.57971014,2.872737719,62,-230
40666,24/01/2018,0,b'1',25,45,1,9,170,119,-230,,
8329,07/10/2016,0,b'1',14,59,3,3,159,349.2753623,34.61648951,94,-230
68389,30/07/2019,2026.342452,b'1',1,67,2,9,146,276.8115942,27.43464522,125,-230
45732,27/07/2018,3546.099291,b'1',15,70,1,9,160,640.5797101,63.48750359,81,-230
64416,20/05/2019,557.2441743,b'1',24,71,3,9,169,-608,9999999770,,
11459,04/08/2016,0,b'0',30,45,1,6,175,92.75362319,128,-230,
35742,24/10/2017,506.585613,b'0',9,50,3,3,154,217.3913043,21.54553289,114,-230
53185,07/09/2018,759.8784195,b'1',23,58,1,9,168,200,19.82189026,109,-230
98701,20/04/2021,0,b'1',19,50,3,9,164,558.8405797,55.38638322,125,-230
82374,24/06/2020,0,b'1',22,61,1,9,167,214.2028986,21.22953174,37,-230
86932,21/09/2020,2532.928065,b'1',26,59,3,9,171,420.2898551,41.65469693,118,-230
81452,03/06/2020,0,b'0',8,52,1,9,153,75.36231884,78,-230,
20582,22/12/2016,0,b'1',1,55,1,9,146,782.6086957,77.56391841,121,-230
27039,27/04/2017,0,b'0',30,47,1,13,175,136.2318841,4.39528871,48,-230
37304,28/11/2017,0,b'1',1,49,1,9,146,-609,9999999770,,
12346,22/07/2016,992.9078014,b'1',25,75,2,9,170,217.3913043,20.68371158,93,-230
59588,29/01/2019,709.2198582,b'0',22,45,1,9,167,507.2463768,50.27291008,117,-230
54480,06/06/2019,0,b'1',1,54,1,9,146,579.7101449,57.45475438,110,-230
68365,19/11/2019,0,b'1',14,52,1,9,159,462.8985507,45.87762137,119,-230
